ticker,name,sector,bankruptcy_filing,bankrupt,filing_date,source_filing_end,source_filing_filed,company_size,sample_source
CAG,Conagra Brands,Consumer Staples,0,0,,2025-05-25,2025-07-10,Large,s&p500_auto_control
CASY,Casey's,Consumer Staples,0,0,,2025-04-30,2025-06-23,Mid,s&p500_auto_control
CHD,Church & Dwight,Consumer Staples,0,0,,2025-12-31,2026-02-12,Mid,s&p500_auto_control
CL,Colgate-Palmolive,Consumer Staples,0,0,,2025-12-31,2026-02-23,Large,s&p500_auto_control
CLX,Clorox,Consumer Staples,0,0,,2025-06-30,2025-08-08,Mid,s&p500_auto_control
APA,APA Corporation,Energy,0,0,,2025-12-31,2026-02-26,Large,s&p500_auto_control
BKR,Baker Hughes,Energy,0,0,,2025-12-31,2026-02-05,Large,s&p500_auto_control
COP,ConocoPhillips,Energy,0,0,,2025-12-31,2026-02-17,Large,s&p500_auto_control
CTRA,Coterra,Energy,0,0,,2025-12-31,2026-02-27,Large,s&p500_auto_control
CVX,Chevron Corporation,Energy,0,0,,2025-12-31,2026-02-24,Large,s&p500_auto_control
DVN,Devon Energy,Energy,0,0,,2025-12-31,2026-02-18,Large,s&p500_auto_control
EOG,EOG Resources,Energy,0,0,,2025-12-31,2026-02-24,Large,s&p500_auto_control
EQT,EQT Corporation,Energy,0,0,,2025-12-31,2026-02-18,Large,s&p500_auto_control
ACGL,Arch Capital Group,Financials,0,0,,2025-12-31,2026-02-26,Large,s&p500_auto_control
AFL,Aflac,Financials,0,0,,2025-12-31,2026-02-25,Large,s&p500_auto_control
AIG,American International Group,Financials,0,0,,2025-12-31,2026-02-12,Large,s&p500_auto_control
AIZ,Assurant,Financials,0,0,,2025-12-31,2026-02-19,Large,s&p500_auto_control
AJG,Arthur J. Gallagher & Co.,Financials,0,0,,2025-12-31,2026-02-17,Large,s&p500_auto_control
ALL,Allstate,Financials,0,0,,2025-12-31,2026-02-20,Large,s&p500_auto_control
AMP,Ameriprise Financial,Financials,0,0,,2025-12-31,2026-03-12,Large,s&p500_auto_control
AON,Aon plc,Financials,0,0,,2025-12-31,2026-02-13,Large,s&p500_auto_control
A,Agilent Technologies,Health Care,0,0,,2025-10-31,2025-12-22,Large,s&p500_auto_control
ABBV,AbbVie,Health Care,0,0,,2025-12-31,2026-02-20,Large,s&p500_auto_control
ABT,Abbott Laboratories,Health Care,0,0,,2025-12-31,2026-02-20,Large,s&p500_auto_control
ALGN,Align Technology,Health Care,0,0,,2025-12-31,2026-02-27,Mid,s&p500_auto_control
AMGN,Amgen,Health Care,0,0,,2025-12-31,2026-02-13,Large,s&p500_auto_control
BAX,Baxter International,Health Care,0,0,,2025-12-31,2026-02-12,Large,s&p500_auto_control
BDX,Becton Dickinson,Health Care,0,0,,2025-09-30,2025-11-25,Large,s&p500_auto_control
BIIB,Biogen,Health Care,0,0,,2025-12-31,2026-02-06,Large,s&p500_auto_control
ADP,Automatic Data Processing,Industrials,0,0,,2025-06-30,2025-08-06,Large,s&p500_auto_control
ALLE,Allegion,Industrials,0,0,,2025-12-31,2026-02-17,Mid,s&p500_auto_control
AME,Ametek,Industrials,0,0,,2025-12-31,2026-02-17,Large,s&p500_auto_control
AOS,A. O. Smith,Industrials,0,0,,2025-12-31,2026-02-10,Mid,s&p500_auto_control
AXON,Axon Enterprise,Industrials,0,0,,2025-12-31,2026-02-25,Mid,s&p500_auto_control
BLDR,Builders FirstSource,Industrials,0,0,,2025-12-31,2026-02-17,Large,s&p500_auto_control
BR,Broadridge Financial Solutions,Industrials,0,0,,2025-06-30,2025-08-05,Mid,s&p500_auto_control
CARR,Carrier Global,Industrials,0,0,,2025-12-31,2026-02-05,Large,s&p500_auto_control
ACN,Accenture,Information Technology,0,0,,2025-08-31,2025-10-10,Large,s&p500_auto_control
ADBE,Adobe Inc.,Information Technology,0,0,,2025-11-28,2026-01-15,Large,s&p500_auto_control
ADI,Analog Devices,Information Technology,0,0,,2025-11-01,2025-11-25,Large,s&p500_auto_control
ADSK,Autodesk,Information Technology,0,0,,2026-01-31,2026-03-03,Large,s&p500_auto_control
AKAM,Akamai Technologies,Information Technology,0,0,,2025-12-31,2026-02-20,Large,s&p500_auto_control
AMAT,Applied Materials,Information Technology,0,0,,2025-10-26,2025-12-12,Large,s&p500_auto_control
AMD,Advanced Micro Devices,Information Technology,0,0,,2025-12-27,2026-02-04,Large,s&p500_auto_control
ANET,Arista Networks,Information Technology,0,0,,2025-12-31,2026-02-17,Large,s&p500_auto_control
ALB,Albemarle Corporation,Materials,0,0,,2025-12-31,2026-02-11,Large,s&p500_auto_control
AMCR,Amcor,Materials,0,0,,2025-06-30,2025-08-15,Large,s&p500_auto_control
APD,Air Products,Materials,0,0,,2025-09-30,2025-11-20,Large,s&p500_auto_control
AVY,Avery Dennison,Materials,0,0,,2025-12-31,2026-02-25,Mid,s&p500_auto_control
BALL,Ball Corporation,Materials,0,0,,2025-12-31,2026-02-19,Large,s&p500_auto_control
CF,CF Industries,Materials,0,0,,2025-12-31,2026-02-25,Large,s&p500_auto_control
CRH,CRH plc,Materials,0,0,,2025-12-31,2026-02-18,Large,s&p500_auto_control
CTVA,Corteva,Materials,0,0,,2025-12-31,2026-02-12,Large,s&p500_auto_control
AMT,American Tower,Real Estate,0,0,,2025-12-31,2026-02-24,Large,s&p500_auto_control
ARE,Alexandria Real Estate Equities,Real Estate,0,0,,2025-12-31,2026-01-26,Large,s&p500_auto_control
AVB,AvalonBay Communities,Real Estate,0,0,,2025-12-31,2026-02-27,Large,s&p500_auto_control
BXP,"BXP, Inc.",Real Estate,0,0,,2025-12-31,2026-02-27,Large,s&p500_auto_control
CBRE,CBRE Group,Real Estate,0,0,,2025-12-31,2026-02-12,Large,s&p500_auto_control
CCI,Crown Castle,Real Estate,0,0,,2025-12-31,2026-02-23,Large,s&p500_auto_control
CPT,Camden Property Trust,Real Estate,0,0,,2025-12-31,2026-02-12,Mid,s&p500_auto_control
CSGP,CoStar Group,Real Estate,0,0,,2025-12-31,2026-02-26,Large,s&p500_auto_control
AEE,Ameren,Utilities,0,0,,2025-12-31,2026-02-18,Large,s&p500_auto_control
AEP,American Electric Power,Utilities,0,0,,2025-12-31,2026-02-12,Large,s&p500_auto_control
AES,AES Corporation,Utilities,0,0,,2025-12-31,2026-03-02,Large,s&p500_auto_control
ATO,Atmos Energy,Utilities,0,0,,2025-09-30,2025-11-14,Large,s&p500_auto_control
AWK,American Water Works,Utilities,0,0,,2025-12-31,2026-02-18,Large,s&p500_auto_control
CEG,Constellation Energy,Utilities,0,0,,2025-12-31,2026-02-24,Large,s&p500_auto_control
CMS,CMS Energy,Utilities,0,0,,2025-12-31,2026-02-10,Large,s&p500_auto_control
CNP,CenterPoint Energy,Utilities,0,0,,2025-12-31,2026-02-19,Large,s&p500_auto_control
NFLX,Netflix,Communication Services,0,0,,2025-12-31,2026-01-23,Large,s&p500_auto_control
NWS,News Corp (Class B),Communication Services,0,0,,2025-06-30,2025-08-06,Large,s&p500_auto_control
